plantName;dateStart;obs;lod;plantVolume;meanVolume
PARIS_MARNE_AVAL;2020-03-04;12574.599399294917;5000;112789.0;45468.0
PARIS_SEINE-AMONT;2020-03-04;25588.956313347975;5000;815138.0;452285.0
PARIS_SEINE-MOREE;2020-03-05;34534.42436027782;5000;14818.0;14818.0
PARIS_MARNE_AVAL;2020-03-11;317991.05654588965;5000;94628.0;45468.0
PARIS_SEINE-AMONT;2020-03-11;338631.09897119494;5000;859699.0;452285.0
PARIS_SEINE-MOREE;2020-03-12;88787.96590232544;5000;14818.0;14818.0
PARIS_MARNE_AVAL;2020-04-02;2012537.8757827336;5000;64924.0;45468.0
PARIS_SEINE-MOREE;2020-04-03;4470299.676509422;5000;14818.0;14818.0
PARIS_MARNE_AVAL;2020-04-08;771961.5959163788;5000;63475.0;45468.0
PARIS_SEINE-AMONT;2020-04-08;2694582.304138815;5000;449348.0;452285.0
PARIS_SEINE-MOREE;2020-04-09;4055318.6428204663;5000;14818.0;14818.0
PARIS_SEINE-CENTRE;2020-04-14;2563146.7471632008;5000;203240.0;203240.0
PARIS_SEINE-AMONT;2020-04-15;419614.78925756586;5000;494144.0;452285.0
PARIS_MARNE_AVAL;2020-04-15;658299.7051781879;5000;59714.0;45468.0
PARIS_SEINE-MOREE;2020-04-16;356407.3617762299;5000;14818.0;14818.0
PARIS_SEINE-CENTRE;2020-04-16;160470.9540213626;5000;203240.0;203240.0
PARIS_SEINE-AMONT;2020-04-19;789253.6272296881;5000;520179.0;452285.0
PARIS_SEINE-CENTRE;2020-04-19;119074.5895425564;5000;203240.0;203240.0
PARIS_MARNE_AVAL;2020-04-19;139325.88536860637;5000;60371.0;45468.0
PARIS_SEINE-AMONT;2020-04-22;1570634.715154688;5000;494317.0;452285.0
PARIS_MARNE_AVAL;2020-04-22;1275822.6706719843;5000;58230.0;45468.0
PARIS_SEINE-MOREE;2020-04-23;310365.87198430335;5000;14818.0;14818.0
PARIS_SEINE-CENTRE;2020-04-27;1781.9730595395881;5000;203240.0;203240.0
PARIS_SEINE-AMONT;2020-04-27;256496.37969105973;5000;508389.0;452285.0
PARIS_MARNE_AVAL;2020-04-27;119431.8693740871;5000;57741.0;45468.0
PARIS_SEINE-AMONT;2020-04-29;83944.91705066;5000;552660.0;452285.0
PARIS_MARNE_AVAL;2020-04-29;56934.290113521914;5000;70769.0;45468.0
PARIS_SEINE-CENTRE;2020-04-30;38649.58555282786;5000;203240.0;203240.0
PARIS_SEINE-MOREE;2020-04-30;85596.6692933445;5000;14818.0;14818.0
PARIS_SEINE-AMONT;2020-05-03;74550.20987746466;5000;472505.0;452285.0
PARIS_SEINE-AMONT;2020-05-04;3051.0844255175653;5000;468219.0;452285.0
PARIS_MARNE_AVAL;2020-05-04;1640.5867206295218;5000;58126.0;45468.0
PARIS_SEINE-MOREE;2020-05-06;53653.6351780036;5000;14818.0;14818.0
PARIS_SEINE-AMONT;2020-05-06;669.6785466744797;5000;483308.0;452285.0
PARIS_SEINE-CENTRE;2020-05-06;2343.4030457081267;5000;203240.0;203240.0
PARIS_MARNE_AVAL;2020-05-06;29037.219962853887;5000;57542.0;45468.0
